"","score","review","writer","time"
"114","10","영화를 본게 아니라 어릴적 친구를 오랜만에 만난 느낌, 시간이 흐른뒤 또 만나고 싶다.  ","요댕이(dyfo****)","2019.06.22 22:44"
"115","10","시리즈 4개가 다 완벽하다  ","박소연(15so****)","2019.06.21 14:37"
"116","10","7살 아들이랑 보고 나왔는데 아들이 엘리베이터에서 말했다 "" 무한한 공간 저너머로 "" 그래 그걸로 됐다 아름다운 애니  ","쭌스맘(dazu****)","2019.06.20 20:35"
"117","10","솔직히 내기준2편만 재밌었는데 이건..휴지로 눈물닦으며 봤다  ","yyhz****","2019.06.20 10:21"
"118","10","뭐하나 빠지는것 없는 환상의 앙상블  ","편지통(zana****)","2019.06.20 10:11"
"119","10","너무 울었어요 진짜 ㅠㅠ 근데 우디는 여전히 앤디의 장난감인거같아요 ㅠㅠ 보니는 너무 임팩트가 없어요 ㅠㅠ  ","뾰로롱(shin****)","2019.06.23 04:07"
"120","10","토이스토리1 부터의 팬이었어서그런가 우디에대한 보니의 무관심이, 그냥 너무 마음아팠어요ㅠㅠ...뭐랄까 너무 재밌고 말로 표현할수없을만큼 완벽했는데 그만큼의 아쉬움도 너무컸던? ㅠㅠ설명할수가없는 먹먹함 억울함이 있었네요ㅠㅠ  ","스파클션(whtj****)","2019.06.22 23:24"
"121","10","우디의 명예로운 은퇴식.. 감동이다.  ","크릴(kril****)","2019.06.21 18:56"
"122","10","7살때 본영화였는데 30살이되었네요그때의저와 지금의 저는 너무다른데이 영화를 다봤을때는 7살때의 제가느낀 감정과 비슷하네요. 너무 즐겁게 봤습니다.4까지만들어주셔서 너무감사했네요  ","Outstrip(oust****)","2019.06.21 00:45"
"123","10","3편이 더 좋다? 4편이  더 좋다? 이런거 의미없음 그냥 토이스토리 영화 보는걸로 감동  ","돌연변이(alsr****)","2019.06.22 01:25"
"124","10","언제나 우리의 친구들.  ","조선(kyw7****)","2019.06.20 10:47"
"125","10","관람객주인이 행복해지는 것이 자신의 사명이라고 생각하는 순수한 장난감들을 보면서 나도 행복해졌다.  ","김경원(rdu2****)","2019.06.23 14:46"
"126","10","관람객우디야 고생했어 넌 정말 최고였어!!  수고했다....라고 말하는 영화같았음.ㅠㅠ  ","sngh****","2019.06.23 14:45"
"127","10","보핍과 함께 보니한테 갈줄알았는데..ㅠㅠ우디가 앤디와 함께 대학에 가는것도 포기하고 함께하려고했던 장난감 친구들과 보니를 두고 떠나다니 믿을수가없어여ㅠㅠㅠㅠ  ","pret****","2019.06.23 09:57"
"128","10","왜 눈물이 나는지 나이먹어서 그런가  ","to77****","2019.06.23 08:21"
"129","10","그치만 색감이 전편만큼 예쁘고 개그감에 있어서는 시리즈중 최고였다고 생각됩니다. 엔드게임 아이언맨처럼 그동안 고생한 우디에게 향한 디즈니의 헌정영화라는 생각이 강하게 들었습니다.모두 행복하길  ","모란멍멍(kwe8****)","2019.06.22 22:22"
"130","10","네가 행복하면 됐어. to infinity and beyond!  ","최다혜(happ****)","2019.06.21 00:02"
"131","10","토이스토리가 보여준 뜻은 주인이랑 무조건 같이 있는 게 아니라 주인을 행복하게 해주는 거라 생각합니다. 우디는 보니에게도 마지막까지 최선을 다했습니다.보핍과 만난 이유는 최선을 다한 우디에게 마지막은 사랑하는 사람과 함께하라는 픽사의 선물로 생각합니다  ","포동포동(yimk****)","2019.06.27 01:23"
"132","10","엔딩에서 흐르는 눈물을 나의 어린딸은 이해 못하겠지...그만큼 떠나보내기 싫은 나의 최애 영화  ","마로(prin****)","2019.06.22 22:05"
"133","10","내 어린 시절에 나타나줘서 고마워, 잘 가 토이스토리.  ","재동이(ka36****)","2019.06.24 02:00"
"134","10","완벽한 장난감으로 살아온 우디의 짐을 완벽하게 덜어준 마지막 작품. 토이스토리3가 앤디와의 이별이었다면 토이스토리4는 우디와의 이별이다.  ","욕정의너구리(onyo****)","2019.06.22 23:32"
"135","10","우디야 보핍아ㅜㅜ 그냥 보니한테 함께 가지 그랬어ㅜㅜ 살작 아쉬운 부분이 있긴하지만 너무 재밌었어요bb 보핍이 많이 달라졌더라구요ㅋㅋ 너무 만족스럽게 봤습니다~!  ","어흑마리짱(ohhu****)","2019.06.22 20:49"
"136","10","관람객5야 나와라!! 4에서 끝나면 안돼  ","까를로스1(carl****)","2019.06.22 14:37"
"137","10","꼭 보세요!!우디야 우디가ㅠㅠ  ","혁(ehdg****)","2019.06.22 14:15"
"138","10","보니야 앤디가 우디를 소중히 다뤄달라고 부탁했잖아.. 왜 그런건데ㅠㅠ  ","토니 크로스(seun****)","2019.06.22 02:10"
"139","10","서로를 믿고 의지하고 서로를 응원해주는 장난감친구들 정말 멋있고 감동스럽다  ","이재승(gana****)","2019.06.20 19:13"
"140","10","내 나이 26살 이지만 100시간의 러닝타임은 마치 타임머신 을 탄거처럼 그때 그 시절 감성으로 날 녹여내었다.  ","최인(verc****)","2019.06.20 19:26"
"141","10","앤디가 그립다.. 우디는 앤디가 대학까지 가져가려고했던 장난감인데 보니한테는 그렇지 않은 장난감이니..  난 개인적으로 우디가 엔디와 대학에  같이 갔으면  좋았을거같음ㅜㅜ  ","먼로(eco3****)","2019.06.26 12:17"
"142","10","ㅜ우디는 앤디랑 있을 때 가장 빛나요ㅠ  ","포뇽(soye****)","2019.06.23 10:28"
"143","10","이번 우디를 보니 앤드게임의 캡틴아메리카가 생각나는군요  ","NASAVIC(sim6****)","2019.06.22 21:01"
"144","10","우디 보면서 캡틴아메리카 생각남. 평소에 다른 장난감들이 모두 주인 떠나려할 때, 그들을 설득하고 주인을 위해 뛰어다니던 우디가 마지막에 주인보다 자신의 삶이자 보핍을 선택함으로서 그 무게를 내려놓는. 그래서 전편과는 다른 우디를 응원하게 됐다  ","김리즈(riz_****)","2019.06.22 17:37"
"145","10","보니가 앤디랑 장난감들의 영원의파트너해주겟다고 해놓고 너무했당 그래도 앞 시리즈가 재미잇엇던만큼 기대햇는데 그 기대만큼 재미잇엇고 이번영화가 끝이아니길.  ","jy08****","2019.06.22 14:21"
"146","10","오늘 보고왔습니다 손수건 가져가세요  ","함정전문가(drum****)","2019.06.20 19:50"
"147","10","관람객아니 근데 보 왤케 더 이뻐짐??  ","So Fresh(dngl****)","2019.06.22 09:46"
"148","10","왜 앤디스토리가 아닌 토이스토리인지 알게 되었다.  ","나나나(kore****)","2019.06.21 02:05"
"149","10","관람객솔직히 이건 10점 줘야한다  ","짱구(makj****)","2019.06.20 12:21"
"150","10","어른을 위한 동화의 마지막 페이지  ","8888****","2019.06.20 12:16"
